category	bytes	sha256	duplicate_target	path
S	622	e07951a291a29fe70eced8f32ff97c765093c6fc7ca36008f0d69e8e6ab5ed50		notes/p5-callback-coverage.txt
S	856	9c3e57290c0280866afc48c543429b62df24296cad99f02b3df24b6e2e3c7c37		notes/p5-callback-m0e4.txt
S	259	17b4b994037404e5bfa6415c70003f45fb1043a08bc3052bbf1a7413a8f9a89a		notes/packet-truth-p4.tsv
S	7696	d73af89be1239bfc53c39c4a63f4c570b9646b7df59e6c73bf2d9ce5a8d26adf		notes/rc-pane3-wins.md
S	18	d06b1e8a0d42a9e3cf967b53d7fdaf05f733fdbe3a60f63976d2fbf965d562d6		work/bicameral-gate/_probe2.txt
B	641118	784592bfb21439aa36c4fb6a09cfa460847acc2638a6be7d7220ac9749c2b80c		work/bicameral-gate/real-sample-b.json
B	2173	2770352b29957f2140807bc250364e72ef491dbfa34a5703fdedd0d3790a9e7d		work/citation-check/fixture.mjs
B	5490	8bd53b3a4a9adbd7d0db2b32c8e1a019f92d5a93f7d87a858e922885c08e8b51		work/citation-check/src/check.ts
B	738	ede5a9835fda8abb0ecf4def4d7d1bff35c3c481b98a0320fa41f0710ba28f32		work/citation-check/src/live.ts
B	2983	5194abc003df5df186fc0cf6434d20027ffc1bf5d9a832fc77379dc07086c6ee		work/citation-check/test/check.test.mjs
A	326277	7357f60b3353944131f92dba3501d10f202833cc812587ce8fce1b101c466573	work/gate-observe-dogfood/flags-4.jsonl	work/gate-observe-dogfood/flags-4.partial.jsonl
B	6542	ee98d8067a1bd01ccaffc8dbd2b22e5bcc095efcb8ba295a2d70fd5ceeb39b07		work/jev-triage/runs/2026-09-20T221149741Z.json
B	6495	ff68c360fb2d1ac7b65e67df0ab78c40aa04708c146cbc0a9352829cb8642511		work/jev-triage/runs/2026-09-20T221837415Z.json
S	4708	aa293499ccd832d35e7a808c9fcff914810385b815fcf6d1e1a963cbb8cc0d29		work/jev-triage/runs/hybrid-2026-09-20T222525023Z.json
B	4806	6075e771dacf3b1fd0b4179aed7548840632ab26d4c2e888b7c84680ef1c8c59		work/jev-triage/runs/hybrid-2026-09-20T222532529Z.json
I	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		work/loss-depth/pokejev-components/battle/stage-b/mix-v1-stop.json
I	24119	01b4258817b7b07a25e83ba598c368053fa613eab3b5a2c385067865ead2bcc2		work/loss-depth/pokejev-components/battle/stage-b/replays-abyssal-mix-v1-control/pokejevaby50 - battle-gen9ouclock-1138.html
I	16026	bd97815ec3b4585cf2407c489ad4d07e018aa6e22fe29b79769ae431625a6e77		work/loss-depth/pokejev-components/battle/stage-b/replays-abyssal-mix-v1-control/pokejevaby50 - battle-gen9ouclock-1150.html
I	17811	0b1da7605ccc401bdf197f849d9c5c57bf5c6673c9aad4fd4587a0cd6d63523f		work/loss-depth/pokejev-components/battle/stage-b/replays-abyssal-mix-v1-control/pokejevaby50 - battle-gen9ouclock-1159.html
I	18899	96c6c5573306d1b95e6d4d1dd39f6cbb761207874bfa1bd428409df270843df5		work/loss-depth/pokejev-components/battle/stage-b/replays-abyssal-mix-v1-control/pokejevaby50 - battle-gen9ouclock-1168.html
I	15458	439c86c2ba9826a9321e96109da9214ce97feb283c959b15c6c44712c848d84b		work/loss-depth/pokejev-components/battle/stage-b/replays-abyssal-mix-v1-control/pokejevaby50 - battle-gen9ouclock-1177.html
I	23744	01e599a85cf3eab5078621092b06d6cf20075778fb5f1ae31aa496cd09918887		work/loss-depth/pokejev-components/battle/stage-b/replays-abyssal-mix-v1-control/pokejevaby50 - battle-gen9ouclock-1182.html
I	14756	e8dd5a07174f16881bb087ddc07df6784c4baafe5a8e3bb72dd725fdf4587d33		work/loss-depth/pokejev-components/battle/stage-b/replays-abyssal-mix-v1-control/pokejevaby50 - battle-gen9ouclock-1191.html
